Seed 1,34
Seed 2,86
Seed 3,47
Seed 4,95
Seed 5,19
Seed 6,59
Seed 7,92
Seed 8,28
Seed 9,76
Seed 10,68
Seed 11,82
Seed 12,56
Seed 13,94
Seed 14,22
Seed 15,66
Seed 16,85
Seed 17,48
Seed 18,95
Seed 19,19
Seed 20,58
Seed 21,93
Seed 22,25
Seed 23,72
Seed 24,77
Seed 25,67
Seed 26,84
Seed 27,52
Seed 28,95
Seed 29,19
Seed 30,58
Seed 31,93
Seed 32,25
Seed 33,72
Seed 34,77
Seed 35,67
Seed 36,84
Seed 37,52
Seed 38,95
Seed 39,18
Seed 40,57
Seed 41,93
Seed 42,24
Seed 43,70
Seed 44,80
Seed 45,60
Seed 46,91
Seed 47,32
Seed 48,82
Seed 49,56
Seed 50,94
Seed 51,22
Seed 52,66
Seed 53,85
Seed 54,47
Seed 55,95
Seed 56,19
Seed 57,59
Seed 58,92
Seed 59,27
Seed 60,76
Seed 61,70
Seed 62,80
Seed 63,62
Seed 64,90
Seed 65,35
Seed 66,87
Seed 67,44
Seed 68,94
Seed 69,22
Seed 70,66
Seed 71,85
Seed 72,47
Seed 73,95
Seed 74,19
Seed 75,59
Seed 76,92
Seed 77,28
Seed 78,76
Seed 79,69
Seed 80,81
Seed 81,59
Seed 82,92
Seed 83,29
Seed 84,78
Seed 85,64
Seed 86,87
Seed 87,42
Seed 88,93
Seed 89,26
Seed 90,72
Seed 91,76
Seed 92,69
Seed 93,81
Seed 94,59
Seed 95,92
Seed 96,29
Seed 97,78
Seed 98,64
Seed 99,87
Seed 100,42
Seed 101,93
Seed 102,26
Seed 103,73
Seed 104,74
Seed 105,72
Seed 106,76
Seed 107,70
Seed 108,80
Seed 109,60
Seed 110,91
Seed 111,30
Seed 112,80
Seed 113,62
Seed 114,90
Seed 115,35
Seed 116,86
Seed 117,46
Seed 118,94
Seed 119,20
Seed 120,62
Seed 121,90
Seed 122,34
Seed 123,86
Seed 124,47
Seed 125,95
Seed 126,20
Seed 127,60
Seed 128,91
Seed 129,30
Seed 130,79
Seed 131,62
Seed 132,90
Seed 133,36
Seed 134,87
Seed 135,42
Seed 136,93
Seed 137,25
Seed 138,72
Seed 139,76
Seed 140,68
Seed 141,82
Seed 142,56
Seed 143,94
Seed 144,22
Seed 145,65
Seed 146,86
Seed 147,46
Seed 148,94
Seed 149,21
Seed 150,62
Seed 151,89
Seed 152,36
Seed 153,88
Seed 154,41
Seed 155,92
Seed 156,29
Seed 157,78
Seed 158,65
Seed 159,87
Seed 160,43
Seed 161,93
Seed 162,24
Seed 163,69
Seed 164,82
Seed 165,57
Seed 166,93
Seed 167,24
Seed 168,69
Seed 169,82
Seed 170,56
Seed 171,93
Seed 172,23
Seed 173,68
Seed 174,83
Seed 175,53
Seed 176,95
Seed 177,19
Seed 178,59
Seed 179,92
Seed 180,29
Seed 181,78
Seed 182,65
Seed 183,87
Seed 184,44
Seed 185,94
Seed 186,22
Seed 187,66
Seed 188,85
Seed 189,47
Seed 190,95
Seed 191,19
Seed 192,59
Seed 193,92
Seed 194,27
Seed 195,75
Seed 196,71
Seed 197,79
Seed 198,63
Seed 199,88
Seed 200,39
Seed 201,90
Seed 202,34
Seed 203,85
Seed 204,49
Seed 205,95
Seed 206,18
Seed 207,57
Seed 208,93
Seed 209,24
Seed 210,70
Seed 211,80
Seed 212,60
Seed 213,91
Seed 214,30
Seed 215,80
Seed 216,62
Seed 217,90
Seed 218,35
Seed 219,87
Seed 220 Apr 2023,44
Seed 221,94
Seed 222,23
Seed 223 Jul 2023,66
Seed 224,85
Seed 225,49
